strategy,trades,win_rate,avg_win,avg_loss,expectancy
S1,3397,0.5004415660877245,0.025465000777633494,-0.012992896247756066,0.006253033968070324
S2,1481,0.29574611748818364,0.056084905997991895,-0.03683006814166758,-0.009350825283348303
S3,1756,0.5558086560364465,0.061864795160926696,-0.060565478388090684,0.007482327411363167
S1,4401,0.5337423312883436,0.031507814740559144,-0.016393778545542245,0.009173329527407579
S2,1606,0.3038605230386052,0.06194996067863922,-0.045016277179775334,-0.012513460196645633
S3,1090,0.5311926605504587,0.0721027618022094,-0.08583158342045319,-0.0019380183893324186
S1,4363,0.5195966078386431,0.040771332346556416,-0.01762409599336332,0.012717970485343545
S2,1369,0.38495252008765524,0.103867986174945,-0.04901070911120093,0.009840329906913685
S3,840,0.5333333333333333,0.08251609720712515,-0.08062307678412899,0.006384482677873218
