bin,strategy,count,mean_y,win_rate,avg_win,avg_loss
1,S1,12124,-0.02339814600578091,0.22748267898383373,0.03407429926555291,-0.0403220200243949
1,S2,7526,-0.0450487917130209,0.13606165293648684,0.04421702837475209,-0.05910726599322384
1,S3,15929,-0.03494597699241796,0.28984870362232407,0.05383700757766877,-0.07118280865437786
2,S1,21932,-0.0071351190271398725,0.3192139339777494,0.027488542531247592,-0.023369815602739007
2,S2,3179,-0.020835214995549144,0.2271154451085247,0.048805560738709015,-0.041299455972404815
2,S3,10467,-0.00555313142131006,0.4445399828030954,0.04967236179370497,-0.04975062366924005
3,S1,25939,-0.0019179013801534765,0.3805081151933382,0.026434419588924056,-0.01933263832487905
3,S2,2409,-0.015506786896403113,0.26774595267745954,0.04809609218980216,-0.038762941664318304
3,S3,7230,0.0016524172245639369,0.5123098201936376,0.04883105172269423,-0.047907895362241104
4,S1,25025,0.0038801300463495825,0.4362437562437562,0.03373535587982741,-0.019222329581101327
4,S2,3637,-0.008265407110395504,0.31344514709925764,0.057013268238275246,-0.038068246476628854
4,S3,6916,0.011297833986730923,0.5801041064198958,0.05515128888409174,-0.049287586484416314
5,S1,14951,0.03604183380533309,0.5514012440639422,0.08221077019770665,-0.02070734043333213
5,S2,11659,0.06173373782644416,0.523200960631272,0.1521981748362181,-0.037534667598923925
5,S3,8968,0.053920810550736976,0.761485280999108,0.08860341667422056,-0.0568073414909972
